number,name,screen_name,profile_image,following,followed_by,description,extra
"585","hoeem","crypthoem","https://pbs.twimg.com/profile_images/1583462717498728455/puvD9UlZ_normal.jpg","true","false","I will teach you how to navigate the world of cryptocurrency. Learn with me and sail to financial freedom! Join over 12k pirates: https://sevenc.substack.com","{""__typename"":""User"",""id"":""VXNlcjoxMzYwMTUzMjk0OTM3NjY5NjM1"",""rest_id"":""1360153294937669635"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":false,""created_at"":""Fri Feb 12 09:06:46 +0000 2021"",""default_profile"":true,""default_profile_image"":false,""description"":""I will teach you how to navigate the world of cryptocurrency. Learn with me and sail to financial freedom! Join over 12k pirates: https://t.co/eOOEH9JWK0"",""entities"":{""description"":{""urls"":[{""display_url"":""sevenc.substack.com"",""expanded_url"":""https://sevenc.substack.com"",""url"":""https://t.co/eOOEH9JWK0"",""indices"":[130,153]}]},""url"":{""urls"":[{""display_url"":""phemex.com/a/k/crypthoem"",""expanded_url"":""https://phemex.com/a/k/crypthoem"",""url"":""https://t.co/HD0R96fRHH"",""indices"":[0,23]}]}},""fast_followers_count"":0,""favourites_count"":31589,""followers_count"":80486,""friends_count"":778,""has_custom_timelines"":true,""is_translator"":false,""listed_count"":2706,""location"":""Trading 👉"",""media_count"":2652,""name"":""hoeem"",""normal_followers_count"":80486,""pinned_tweet_ids_str"":[""1724477718736080902""],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/1360153294937669635/1673297311"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1583462717498728455/puvD9UlZ_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""crypthoem"",""statuses_count"":21425,""translator_type"":""none"",""url"":""https://t.co/HD0R96fRHH"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""professional"":{""rest_id"":""1478094405793951748"",""professional_type"":""Creator"",""category"":[]},""entryId"":""user-1360153294937669635"",""sortIndex"":""1726944887225449889""}"
"586","Vu Gaba Vineb","gabavineb","https://pbs.twimg.com/profile_images/1071229919235960833/bsJ_2b-e_normal.jpg","true","false","I talk about fixed-rate, yield trading and DeFi alphas in general.\nHustler at @pendle_fi","{""__typename"":""User"",""id"":""VXNlcjoxMDY5OTUwOTQ4NjQ1MDY4ODAw"",""rest_id"":""1069950948645068800"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":true,""created_at"":""Tue Dec 04 13:45:59 +0000 2018"",""default_profile"":true,""default_profile_image"":false,""description"":""I talk about fixed-rate, yield trading and DeFi alphas in general.\nHustler at @pendle_fi"",""entities"":{""description"":{""urls"":[]},""url"":{""urls"":[{""display_url"":""app.pendle.finance"",""expanded_url"":""http://app.pendle.finance"",""url"":""https://t.co/nTCV246o3p"",""indices"":[0,23]}]}},""fast_followers_count"":0,""favourites_count"":937,""followers_count"":4442,""friends_count"":342,""has_custom_timelines"":true,""is_translator"":false,""listed_count"":130,""location"":""DeFi"",""media_count"":121,""name"":""Vu Gaba Vineb"",""normal_followers_count"":4442,""pinned_tweet_ids_str"":[""1632756061424988160""],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/1069950948645068800/1642519456"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1071229919235960833/bsJ_2b-e_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""gabavineb"",""statuses_count"":947,""translator_type"":""none"",""url"":""https://t.co/nTCV246o3p"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""professional"":{""rest_id"":""1483466727472398338"",""professional_type"":""Creator"",""category"":[]},""entryId"":""user-1069950948645068800"",""sortIndex"":""1726944887225449888""}"
"587","土澳大狮兄BroLeon | 98KDAO | ❤️ Memecoin","BroLeonAus","https://pbs.twimg.com/profile_images/1367325807543119872/dMF35t62_normal.jpg","true","false","❄️🚢 不踩坑只暴富，不制造焦虑，安心发掘Alpha机会 ⏳","{""__typename"":""User"",""id"":""VXNlcjoxMzYyOTY3MTU2ODI1MDE4MzY5"",""rest_id"":""1362967156825018369"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":true,""created_at"":""Sat Feb 20 03:28:10 +0000 2021"",""default_profile"":true,""default_profile_image"":false,""description"":""❄️🚢 不踩坑只暴富，不制造焦虑，安心发掘Alpha机会 ⏳"",""entities"":{""description"":{""urls"":[]}},""fast_followers_count"":0,""favourites_count"":1408,""followers_count"":25907,""friends_count"":902,""has_custom_timelines"":true,""is_translator"":false,""listed_count"":441,""location"":""Melbourne, Australia"",""media_count"":1054,""name"":""土澳大狮兄BroLeon | 98KDAO | ❤️ Memecoin"",""normal_followers_count"":25907,""pinned_tweet_ids_str"":[],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/1362967156825018369/1614863479"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1367325807543119872/dMF35t62_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""BroLeonAus"",""statuses_count"":3283,""translator_type"":""none"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""professional"":{""rest_id"":""1593175002488377344"",""professional_type"":""Creator"",""category"":[{""id"":934,""name"":""Social Media Influencer"",""icon_name"":""IconBriefcaseStroke""}]},""entryId"":""user-1362967156825018369"",""sortIndex"":""1726944887225449887""}"
"588","Winter Soldier ❄️🙋🏻‍♂️","WinterSoldierxz","https://pbs.twimg.com/profile_images/1582971279895719936/2Cz4JFjM_normal.jpg","true","false","🦾 VC researcher with a S̶o̶v̶i̶e̶t̶ Wakanda metal arm \n✍🏻 Crypto and defi","{""__typename"":""User"",""id"":""VXNlcjoxNTc5MzIyNjEyNDY2ODg0NjA4"",""rest_id"":""1579322612466884608"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":false,""created_at"":""Mon Oct 10 04:07:25 +0000 2022"",""default_profile"":true,""default_profile_image"":false,""description"":""🦾 VC researcher with a S̶o̶v̶i̶e̶t̶ Wakanda metal arm \n✍🏻 Crypto and defi"",""entities"":{""description"":{""urls"":[]},""url"":{""urls"":[{""display_url"":""linktr.ee/0xwintersoldier"",""expanded_url"":""https://linktr.ee/0xwintersoldier"",""url"":""https://t.co/R3mzEgjRLG"",""indices"":[0,23]}]}},""fast_followers_count"":0,""favourites_count"":5111,""followers_count"":19062,""friends_count"":1096,""has_custom_timelines"":true,""is_translator"":false,""listed_count"":914,""location"":""Hydra Base"",""media_count"":387,""name"":""Winter Soldier ❄️🙋🏻‍♂️"",""normal_followers_count"":19062,""pinned_tweet_ids_str"":[""1713952595079987616""],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/1579322612466884608/1666075842"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1582971279895719936/2Cz4JFjM_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""WinterSoldierxz"",""statuses_count"":3408,""translator_type"":""none"",""url"":""https://t.co/R3mzEgjRLG"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""professional"":{""rest_id"":""1592001583482802176"",""professional_type"":""Creator"",""category"":[{""id"":1009,""name"":""Community"",""icon_name"":""IconBriefcaseStroke""}]},""entryId"":""user-1579322612466884608"",""sortIndex"":""1726944887225449886""}"
"589","Penpie","Penpiexyz_io","https://pbs.twimg.com/profile_images/1655276332618530817/ROsz0yL1_normal.jpg","true","false","Penpie is a Next-Generation SubDAO by @magpiexyz_io that's set to revolutionize @pendle_fi\n\nhttp://link3.to/magpiexyz","{""__typename"":""User"",""id"":""VXNlcjoxNjUyNzQ5MjEzNjUyOTg3OTA1"",""rest_id"":""1652749213652987905"",""affiliates_highlighted_label"":{""label"":{""url"":{""url"":""https://twitter.com/magpiexyz_io"",""urlType"":""DeepLink""},""badge"":{""url"":""https://pbs.twimg.com/profile_images/1541296579801337857/2AowJ4iE_bigger.jpg""},""description"":""Magpie"",""userLabelType"":""BusinessLabel"",""userLabelDisplayType"":""Badge""}},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":true,""created_at"":""Sun Apr 30 18:58:27 +0000 2023"",""default_profile"":true,""default_profile_image"":false,""description"":""Penpie is a Next-Generation SubDAO by @magpiexyz_io that's set to revolutionize @pendle_fi\n\nhttps://t.co/hsgvYuqiqz"",""entities"":{""description"":{""urls"":[{""display_url"":""link3.to/magpiexyz"",""expanded_url"":""http://link3.to/magpiexyz"",""url"":""https://t.co/hsgvYuqiqz"",""indices"":[92,115]}]},""url"":{""urls"":[{""display_url"":""pendle.magpiexyz.io/stake"",""expanded_url"":""https://www.pendle.magpiexyz.io/stake"",""url"":""https://t.co/9cjvXnA1lU"",""indices"":[0,23]}]}},""fast_followers_count"":0,""favourites_count"":1358,""followers_count"":22637,""friends_count"":186,""has_custom_timelines"":false,""is_translator"":false,""listed_count"":114,""location"":""Ethereum & Arbitrum "",""media_count"":341,""name"":""Penpie"",""normal_followers_count"":22637,""pinned_tweet_ids_str"":[],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/1652749213652987905/1687012598"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1655276332618530817/ROsz0yL1_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""Penpiexyz_io"",""statuses_count"":750,""translator_type"":""none"",""url"":""https://t.co/9cjvXnA1lU"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""professional"":{""rest_id"":""1652753913303408642"",""professional_type"":""Business"",""category"":[{""id"":713,""name"":""Science & Technology"",""icon_name"":""IconBriefcaseStroke""}]},""entryId"":""user-1652749213652987905"",""sortIndex"":""1726944887225449885""}"
"590","bunny🐰","DaBunnyOFFICIAL","https://pbs.twimg.com/profile_images/1585455552045400066/C7x9pgU1_normal.jpg","true","false","cartoon monkey on the internet","{""__typename"":""User"",""id"":""VXNlcjo0OTUyMjQxMw=="",""rest_id"":""49522413"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":true,""created_at"":""Mon Jun 22 03:25:26 +0000 2009"",""default_profile"":false,""default_profile_image"":false,""description"":""cartoon monkey on the internet"",""entities"":{""description"":{""urls"":[]}},""fast_followers_count"":0,""favourites_count"":45182,""followers_count"":43365,""friends_count"":6470,""has_custom_timelines"":true,""is_translator"":false,""listed_count"":222,""location"":""Neptune, NJ"",""media_count"":3221,""name"":""bunny🐰"",""normal_followers_count"":43365,""pinned_tweet_ids_str"":[],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/49522413/1669604770"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1585455552045400066/C7x9pgU1_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""DaBunnyOFFICIAL"",""statuses_count"":34172,""translator_type"":""none"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""professional"":{""rest_id"":""1673410238433619973"",""professional_type"":""Business"",""category"":[{""id"":580,""name"":""Media & News Company"",""icon_name"":""IconBriefcaseStroke""}]},""entryId"":""user-49522413"",""sortIndex"":""1726944887225449884""}"
"591","草莓软糖","Gummybear1771","https://pbs.twimg.com/profile_images/1659477013265264640/Tl9KWVwE_normal.jpg","true","false","合作TG：gummybear1771\n\nOKX（20%返佣）:http://okx.com/join/50894068\n币安（20%返佣）: https://accounts.binance.com/register?ref=ICRY7OB4\nBitget（20%返佣）邀请码：t1fa4974","{""__typename"":""User"",""id"":""VXNlcjoxNTE5NTc5ODA1OTAxMjkxNTIw"",""rest_id"":""1519579805901291520"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":true,""created_at"":""Thu Apr 28 07:30:49 +0000 2022"",""default_profile"":true,""default_profile_image"":false,""description"":""合作TG：gummybear1771\n\nOKX（20%返佣）:https://t.co/0T8Bm7BbQQ\n币安（20%返佣）: https://t.co/ydluXhBJq5\nBitget（20%返佣）邀请码：t1fa4974"",""entities"":{""description"":{""urls"":[{""display_url"":""okx.com/join/50894068"",""expanded_url"":""http://okx.com/join/50894068"",""url"":""https://t.co/0T8Bm7BbQQ"",""indices"":[31,54]},{""display_url"":""accounts.binance.com/register?ref=I…"",""expanded_url"":""https://accounts.binance.com/register?ref=ICRY7OB4"",""url"":""https://t.co/ydluXhBJq5"",""indices"":[66,89]}]}},""fast_followers_count"":0,""favourites_count"":672,""followers_count"":93168,""friends_count"":412,""has_custom_timelines"":false,""is_translator"":false,""listed_count"":77,""location"":""距你1.8km"",""media_count"":264,""name"":""草莓软糖"",""normal_followers_count"":93168,""pinned_tweet_ids_str"":[""1637420977637462016""],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/1519579805901291520/1681356042"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1659477013265264640/Tl9KWVwE_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""Gummybear1771"",""statuses_count"":3514,""translator_type"":""none"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""professional"":{""rest_id"":""1633755700668301313"",""professional_type"":""Creator"",""category"":[{""id"":49,""name"":""Dance & Night Club"",""icon_name"":""IconBriefcaseStroke""}]},""entryId"":""user-1519579805901291520"",""sortIndex"":""1726944887225449883""}"
"592","Equilibria","Equilibriafi","https://pbs.twimg.com/profile_images/1643646260224872448/QLLK8pmR_normal.jpg","true","false","First yield booster on top of @Pendle_fi. Genesis member of @NGADfuture. Incubating @Skilletcook with NGAD.","{""__typename"":""User"",""id"":""VXNlcjoxNjQzNTUxMDUzNTEyODYzNzQ5"",""rest_id"":""1643551053512863749"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":true,""created_at"":""Wed Apr 05 09:48:18 +0000 2023"",""default_profile"":true,""default_profile_image"":false,""description"":""First yield booster on top of @Pendle_fi. Genesis member of @NGADfuture. Incubating @Skilletcook with NGAD."",""entities"":{""description"":{""urls"":[]},""url"":{""urls"":[{""display_url"":""linktr.ee/equilibriafi"",""expanded_url"":""https://linktr.ee/equilibriafi"",""url"":""https://t.co/aQVLsG5Fen"",""indices"":[0,23]}]}},""fast_followers_count"":0,""favourites_count"":1724,""followers_count"":36974,""friends_count"":192,""has_custom_timelines"":false,""is_translator"":false,""listed_count"":135,""location"":"""",""media_count"":420,""name"":""Equilibria"",""normal_followers_count"":36974,""pinned_tweet_ids_str"":[""1724306425894355042""],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/1643551053512863749/1693210258"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1643646260224872448/QLLK8pmR_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""Equilibriafi"",""statuses_count"":1209,""translator_type"":""none"",""url"":""https://t.co/aQVLsG5Fen"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""entryId"":""user-1643551053512863749"",""sortIndex"":""1726944887225449882""}"
"593","🉐 Crypto Linn","crypto_linn","https://pbs.twimg.com/profile_images/1654487711653265410/9Fzvqbhr_normal.jpg","true","false","Follow for Crypto Alpha Aggregation & Early Insights - Putting the ass in as(s)ymmetric returns - Spiritual Advice Only","{""__typename"":""User"",""id"":""VXNlcjoxMTM5MTc0NTYzODAyMjI2Njg4"",""rest_id"":""1139174563802226688"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":false,""created_at"":""Thu Jun 13 14:15:55 +0000 2019"",""default_profile"":false,""default_profile_image"":false,""description"":""Follow for Crypto Alpha Aggregation & Early Insights - Putting the ass in as(s)ymmetric returns - Spiritual Advice Only"",""entities"":{""description"":{""urls"":[]},""url"":{""urls"":[{""display_url"":""tinyurl.com/LINNNNN"",""expanded_url"":""https://tinyurl.com/LINNNNN"",""url"":""https://t.co/DSewShuEy8"",""indices"":[0,23]}]}},""fast_followers_count"":0,""favourites_count"":253291,""followers_count"":47248,""friends_count"":694,""has_custom_timelines"":true,""is_translator"":false,""listed_count"":1799,""location"":""itinerant"",""media_count"":921,""name"":""🉐 Crypto Linn"",""normal_followers_count"":47248,""pinned_tweet_ids_str"":[""1586319151810760707""],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/1139174563802226688/1662497842"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1654487711653265410/9Fzvqbhr_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""crypto_linn"",""statuses_count"":15943,""translator_type"":""none"",""url"":""https://t.co/DSewShuEy8"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""professional"":{""rest_id"":""1590774220337942536"",""professional_type"":""Creator"",""category"":[]},""entryId"":""user-1139174563802226688"",""sortIndex"":""1726944887225449881""}"
"594","亚洲金融 Asia Finance","AsiaFinance","https://pbs.twimg.com/profile_images/1581767238968905729/WA2-mkJX_normal.jpg","true","false","亚洲金融：政经领域的有意思的事儿。\nAsiaFinance: For the Rich and Powerful.","{""__typename"":""User"",""id"":""VXNlcjo4MTc5MzI4ODA2MDUyMzMxNTI="",""rest_id"":""817932880605233152"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":false,""created_at"":""Sun Jan 08 03:16:10 +0000 2017"",""default_profile"":true,""default_profile_image"":false,""description"":""亚洲金融：政经领域的有意思的事儿。\nAsiaFinance: For the Rich and Powerful."",""entities"":{""description"":{""urls"":[]}},""fast_followers_count"":0,""favourites_count"":9936,""followers_count"":225303,""friends_count"":319,""has_custom_timelines"":false,""is_translator"":false,""listed_count"":1272,""location"":""New York, USA"",""media_count"":8022,""name"":""亚洲金融 Asia Finance"",""normal_followers_count"":225303,""pinned_tweet_ids_str"":[],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/817932880605233152/1560565058"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1581767238968905729/WA2-mkJX_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""AsiaFinance"",""statuses_count"":9189,""translator_type"":""none"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""professional"":{""rest_id"":""1531379244277846017"",""professional_type"":""Business"",""category"":[{""id"":192,""name"":""Financial Services"",""icon_name"":""IconBriefcaseStroke""}]},""entryId"":""user-817932880605233152"",""sortIndex"":""1726944887225449880""}"
"595","我是狗头萝莉","goutoulll","https://pbs.twimg.com/profile_images/1448083864761552899/pDxbbsjn_normal.jpg","true","false","仅此一个号！🐶我喜欢的有两种类型，一是知识渊博 阅历丰富的人（特别喜欢历史 天文 电脑 电器 烹饪等方面会一项就超级加分了） 二是能帮我拿快递丢垃圾陪我打LOL的人 第一种对象我会很听话 第二种你要很听话💕 防走失@goutoudaluoli 🐶","{""__typename"":""User"",""id"":""VXNlcjoxNDQzNTIyNDI1NjkwMjg4MTQw"",""rest_id"":""1443522425690288140"",""affiliates_highlighted_label"":{},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":true,""created_at"":""Thu Sep 30 10:25:48 +0000 2021"",""default_profile"":true,""default_profile_image"":false,""description"":""仅此一个号！🐶我喜欢的有两种类型，一是知识渊博 阅历丰富的人（特别喜欢历史 天文 电脑 电器 烹饪等方面会一项就超级加分了） 二是能帮我拿快递丢垃圾陪我打LOL的人 第一种对象我会很听话 第二种你要很听话💕 防走失@goutoudaluoli 🐶"",""entities"":{""description"":{""urls"":[]},""url"":{""urls"":[{""display_url"":""t.me/goutoulll"",""expanded_url"":""https://t.me/goutoulll"",""url"":""https://t.co/okwI6Vqygo"",""indices"":[0,23]}]}},""fast_followers_count"":0,""favourites_count"":16,""followers_count"":572338,""friends_count"":2,""has_custom_timelines"":false,""is_translator"":false,""listed_count"":590,""location"":""粉丝群👉🏻"",""media_count"":80,""name"":""我是狗头萝莉"",""normal_followers_count"":572338,""pinned_tweet_ids_str"":[""1726574194497101865""],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/1443522425690288140/1647014870"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1448083864761552899/pDxbbsjn_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""goutoulll"",""statuses_count"":94,""translator_type"":""none"",""url"":""https://t.co/okwI6Vqygo"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[""ID""]},""professional"":{""rest_id"":""1534440783549710337"",""professional_type"":""Creator"",""category"":[{""id"":15,""name"":""Entertainment & Recreation"",""icon_name"":""IconBriefcaseStroke""}]},""entryId"":""user-1443522425690288140"",""sortIndex"":""1726944887225449879""}"
"596","borovik.eth","3orovik","https://pbs.twimg.com/profile_images/1602013001275432961/fPt7sb1f_normal.png","true","false","@rollbitcom Partner https://rollbit.com/referral/borovik | satire & shitposter - Not Financial Advice | 497 everydays👉https://opensea.io/collection/aied","{""__typename"":""User"",""id"":""VXNlcjoxMzczNzg2MTA2MTE4OTYzMjAw"",""rest_id"":""1373786106118963200"",""affiliates_highlighted_label"":{""label"":{""url"":{""url"":""https://twitter.com/ninjalerts"",""urlType"":""DeepLink""},""badge"":{""url"":""https://pbs.twimg.com/profile_images/1672632688904159232/egn_zJSv_bigger.jpg""},""description"":""Ninjalerts🥷"",""userLabelType"":""BusinessLabel"",""userLabelDisplayType"":""Badge""}},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":false,""created_at"":""Sun Mar 21 23:59:14 +0000 2021"",""default_profile"":true,""default_profile_image"":false,""description"":""@rollbitcom Partner https://t.co/JprmdXKV8o | satire & shitposter - Not Financial Advice | 497 everydays👉https://t.co/v3BU2l0mAv"",""entities"":{""description"":{""urls"":[{""display_url"":""rollbit.com/referral/borov…"",""expanded_url"":""https://rollbit.com/referral/borovik"",""url"":""https://t.co/JprmdXKV8o"",""indices"":[20,43]},{""display_url"":""opensea.io/collection/aied"",""expanded_url"":""https://opensea.io/collection/aied"",""url"":""https://t.co/v3BU2l0mAv"",""indices"":[105,128]}]},""url"":{""urls"":[{""display_url"":""linktr.ee/borovik"",""expanded_url"":""https://www.linktr.ee/borovik"",""url"":""https://t.co/SJ5JxRvjAM"",""indices"":[0,23]}]}},""fast_followers_count"":0,""favourites_count"":158054,""followers_count"":139562,""friends_count"":2479,""has_custom_timelines"":true,""is_translator"":false,""listed_count"":733,""location"":""🦇🔊"",""media_count"":8535,""name"":""borovik.eth"",""normal_followers_count"":139562,""pinned_tweet_ids_str"":[""1658612393100861440""],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/1373786106118963200/1694307035"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1602013001275432961/fPt7sb1f_normal.png"",""profile_interstitial_type"":"""",""screen_name"":""3orovik"",""statuses_count"":81429,""translator_type"":""none"",""url"":""https://t.co/SJ5JxRvjAM"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""professional"":{""rest_id"":""1484338112847253504"",""professional_type"":""Creator"",""category"":[]},""super_follow_eligible"":true,""entryId"":""user-1373786106118963200"",""sortIndex"":""1726944887225449878""}"
"597","MANDO CT","XMaximist","https://pbs.twimg.com/profile_images/1725126977609232384/dh-W3yfZ_normal.jpg","true","false","WEB3 Expert/Trader/Adviser- $SYS $TET $UNO $SDEX $SHIDO $RVF $SIDUS $ROSX $DHB $VRA $FLOKI | DYOR NFA @Entrepreneur @LAWeekly @khaleejtimes @OKMagazine","{""__typename"":""User"",""id"":""VXNlcjoxMzQ0NjE0OTEyODAzNDI2MzA1"",""rest_id"":""1344614912803426305"",""affiliates_highlighted_label"":{""label"":{""url"":{""url"":""https://twitter.com/tectumsocial"",""urlType"":""DeepLink""},""badge"":{""url"":""https://pbs.twimg.com/profile_images/1600856961498619908/81YuBAXh_bigger.jpg""},""description"":""Tectum"",""userLabelType"":""BusinessLabel"",""userLabelDisplayType"":""Badge""}},""has_graduated_access"":true,""is_blue_verified"":true,""profile_image_shape"":""Circle"",""legacy"":{""following"":true,""can_dm"":true,""can_media_tag"":false,""created_at"":""Thu Dec 31 12:02:43 +0000 2020"",""default_profile"":true,""default_profile_image"":false,""description"":""WEB3 Expert/Trader/Adviser- $SYS $TET $UNO $SDEX $SHIDO $RVF $SIDUS $ROSX $DHB $VRA $FLOKI | DYOR NFA @Entrepreneur @LAWeekly @khaleejtimes @OKMagazine"",""entities"":{""description"":{""urls"":[]},""url"":{""urls"":[{""display_url"":""mando-ct.com"",""expanded_url"":""http://www.mando-ct.com"",""url"":""https://t.co/9WE5huf0Z8"",""indices"":[0,23]}]}},""fast_followers_count"":0,""favourites_count"":122015,""followers_count"":239668,""friends_count"":2231,""has_custom_timelines"":true,""is_translator"":false,""listed_count"":738,""location"":""Dubai"",""media_count"":11007,""name"":""MANDO CT"",""normal_followers_count"":239668,""pinned_tweet_ids_str"":[],""possibly_sensitive"":false,""profile_banner_url"":""https://pbs.twimg.com/profile_banners/1344614912803426305/1700137309"",""profile_image_url_https"":""https://pbs.twimg.com/profile_images/1725126977609232384/dh-W3yfZ_normal.jpg"",""profile_interstitial_type"":"""",""screen_name"":""XMaximist"",""statuses_count"":66384,""translator_type"":""none"",""url"":""https://t.co/9WE5huf0Z8"",""verified"":false,""want_retweets"":true,""withheld_in_countries"":[]},""professional"":{""rest_id"":""1561786529701400584"",""professional_type"":""Creator"",""category"":[{""id"":958,""name"":""Entrepreneur"",""icon_name"":""IconBriefcaseStroke""}]},""entryId"":""user-1344614912803426305"",""sortIndex"":""1726944887225449877""}"
